age,education,sex,relationship,marital-status,income
53.0,Prof-school,Female,Other-relative,Never-married,<=50K
85.0,9th,Male,Own-child,Never-married,<=50K
22.0,Some-college,Female,Own-child,Never-married,<=50K
43.0,Bachelors,Male,Other-relative,Divorced,<=50K
70.0,Doctorate,Male,Not-in-family,Widowed,>50K
73.0,7th-8th,Male,Own-child,Married-spouse-absent,>50K
53.0,7th-8th,Female,Not-in-family,Widowed,>50K
33.0,11th,Female,Wife,Divorced,<=50K
33.0,11th,Female,Wife,Divorced,>50K
63.0,Assoc-voc,Male,Not-in-family,Never-married,>50K
82.0,Some-college,Male,Unmarried,Never-married,<=50K
48.0,Masters,Female,Other-relative,Separated,<=50K
80.0,Bachelors,Female,Other-relative,Widowed,<=50K
27.0,11th,Female,Wife,Married-spouse-absent,>50K
63.0,12th,Male,Husband,Married-spouse-absent,>50K
18.0,11th,Female,Husband,Married-civ-spouse,>50K
39.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
32.0,12th,Male,Unmarried,Married-AF-spouse,>50K
38.0,Some-college,Female,Unmarried,Divorced,<=50K
68.0,Bachelors,Female,Wife,Married-AF-spouse,>50K
29.0,9th,Female,Wife,Never-married,<=50K
38.0,Bachelors,Female,Unmarried,Married-civ-spouse,<=50K
24.0,Some-college,Female,Not-in-family,Never-married,>50K
74.0,HS-grad,Female,Unmarried,Widowed,>50K
52.0,1st-4th,Female,Husband,Married-civ-spouse,>50K
47.0,11th,Female,Own-child,Never-married,<=50K
40.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
81.0,Bachelors,Female,Wife,Widowed,>50K
42.0,9th,Male,Other-relative,Married-civ-spouse,<=50K
61.0,Some-college,Male,Not-in-family,Separated,>50K
33.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
35.0,Masters,Female,Unmarried,Married-spouse-absent,<=50K
47.0,HS-grad,Female,Not-in-family,Divorced,<=50K
24.0,Some-college,Female,Other-relative,Married-civ-spouse,<=50K
41.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
83.0,9th,Female,Own-child,Married-civ-spouse,<=50K
82.0,Assoc-voc,Male,Own-child,Married-civ-spouse,>50K
55.0,12th,Female,Own-child,Never-married,<=50K
67.0,Assoc-acdm,Male,Wife,Separated,<=50K
23.0,5th-6th,Male,Own-child,Never-married,>50K
43.0,Bachelors,Female,Not-in-family,Never-married,>50K
19.0,Some-college,Female,Not-in-family,Never-married,<=50K
24.0,Some-college,Male,Own-child,Never-married,<=50K
47.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
47.0,12th,Male,Own-child,Widowed,<=50K
42.0,HS-grad,Male,Own-child,Never-married,>50K
58.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
37.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
51.0,HS-grad,Female,Not-in-family,Divorced,<=50K
61.0,HS-grad,Female,Not-in-family,Widowed,<=50K
89.0,11th,Female,Other-relative,Divorced,<=50K
51.0,Bachelors,Male,Not-in-family,Married-civ-spouse,<=50K
65.0,HS-grad,Female,Wife,Married-civ-spouse,>50K
33.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
59.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
24.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
39.0,HS-grad,Male,Own-child,Married-civ-spouse,>50K
23.0,7th-8th,Female,Husband,Divorced,<=50K
78.0,Preschool,Male,Not-in-family,Never-married,<=50K
30.0,Assoc-voc,Female,Husband,Divorced,<=50K
31.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
77.0,5th-6th,Male,Husband,Married-civ-spouse,>50K
21.0,Assoc-acdm,Male,Own-child,Married-civ-spouse,>50K
59.0,Some-college,Male,Husband,Married-civ-spouse,>50K
41.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
