age,education,sex,relationship,marital-status,income
42.0,Some-college,Female,Husband,Married-civ-spouse,<=50K
45.0,HS-grad,Male,Not-in-family,Married-civ-spouse,<=50K
40.0,HS-grad,Female,Other-relative,Never-married,<=50K
36.0,Bachelors,Male,Not-in-family,Married-civ-spouse,<=50K
33.0,HS-grad,Female,Husband,Divorced,<=50K
40.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
34.0,HS-grad,Female,Husband,Married-civ-spouse,<=50K
55.0,Assoc-acdm,Male,Husband,Divorced,<=50K
66.0,Assoc-acdm,Male,Own-child,Never-married,<=50K
34.0,HS-grad,Male,Unmarried,Never-married,>50K
50.0,HS-grad,Female,Not-in-family,Divorced,<=50K
37.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
40.0,9th,Male,Unmarried,Married-civ-spouse,>50K
60.0,10th,Male,Unmarried,Married-civ-spouse,<=50K
19.0,10th,Male,Husband,Never-married,>50K
22.0,Bachelors,Male,Wife,Married-civ-spouse,<=50K
20.0,HS-grad,Female,Own-child,Married-civ-spouse,<=50K
53.0,Masters,Male,Husband,Married-civ-spouse,<=50K
49.0,HS-grad,Male,Unmarried,Married-civ-spouse,>50K
57.0,Some-college,Female,Husband,Married-civ-spouse,<=50K
69.0,10th,Male,Not-in-family,Married-civ-spouse,<=50K
53.0,Assoc-voc,Male,Not-in-family,Married-civ-spouse,>50K
35.0,Bachelors,Male,Husband,Never-married,<=50K
49.0,HS-grad,Male,Unmarried,Never-married,>50K
22.0,Some-college,Male,Husband,Widowed,<=50K
39.0,Bachelors,Female,Husband,Divorced,>50K
22.0,Bachelors,Male,Not-in-family,Married-civ-spouse,>50K
63.0,11th,Male,Own-child,Separated,<=50K
39.0,Some-college,Female,Not-in-family,Married-civ-spouse,<=50K
35.0,Doctorate,Male,Not-in-family,Married-civ-spouse,<=50K
26.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
49.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
33.0,10th,Female,Not-in-family,Never-married,<=50K
42.0,Assoc-acdm,Female,Husband,Divorced,>50K
19.0,Some-college,Female,Husband,Married-civ-spouse,<=50K
39.0,Some-college,Male,Not-in-family,Married-civ-spouse,>50K
42.0,Prof-school,Male,Own-child,Married-civ-spouse,<=50K
40.0,HS-grad,Female,Unmarried,Never-married,<=50K
64.0,Some-college,Female,Own-child,Never-married,>50K
45.0,HS-grad,Female,Not-in-family,Widowed,>50K
28.0,HS-grad,Male,Own-child,Divorced,>50K
33.0,11th,Female,Husband,Married-civ-spouse,<=50K
46.0,HS-grad,Female,Not-in-family,Never-married,>50K
18.0,Masters,Female,Unmarried,Divorced,>50K
44.0,Bachelors,Female,Husband,Married-civ-spouse,<=50K
46.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
25.0,HS-grad,Female,Not-in-family,Never-married,<=50K
23.0,Bachelors,Male,Not-in-family,Married-civ-spouse,>50K
29.0,Prof-school,Female,Husband,Married-civ-spouse,<=50K
31.0,12th,Female,Husband,Married-civ-spouse,<=50K
42.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
33.0,11th,Male,Unmarried,Married-civ-spouse,<=50K
76.0,Some-college,Female,Other-relative,Never-married,>50K
22.0,Bachelors,Male,Husband,Never-married,<=50K
26.0,Preschool,Female,Not-in-family,Never-married,>50K
24.0,10th,Male,Not-in-family,Married-civ-spouse,>50K
43.0,Bachelors,Male,Not-in-family,Married-civ-spouse,<=50K
26.0,Masters,Female,Own-child,Divorced,<=50K
34.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
26.0,5th-6th,Male,Husband,Married-civ-spouse,<=50K
24.0,HS-grad,Male,Wife,Married-civ-spouse,<=50K
23.0,Doctorate,Male,Not-in-family,Married-civ-spouse,>50K
46.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
23.0,HS-grad,Female,Husband,Married-civ-spouse,<=50K
26.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
33.0,HS-grad,Male,Not-in-family,Never-married,<=50K
52.0,HS-grad,Male,Wife,Married-civ-spouse,<=50K
22.0,9th,Male,Not-in-family,Married-civ-spouse,<=50K
52.0,Some-college,Male,Not-in-family,Divorced,<=50K
22.0,Masters,Male,Husband,Never-married,>50K
65.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
32.0,HS-grad,Female,Not-in-family,Married-civ-spouse,<=50K
70.0,HS-grad,Male,Unmarried,Married-civ-spouse,<=50K
41.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
48.0,10th,Male,Not-in-family,Never-married,<=50K
17.0,Bachelors,Female,Not-in-family,Never-married,<=50K
31.0,HS-grad,Male,Not-in-family,Married-civ-spouse,>50K
24.0,HS-grad,Female,Own-child,Married-civ-spouse,>50K
31.0,HS-grad,Female,Not-in-family,Married-civ-spouse,<=50K
24.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
31.0,HS-grad,Male,Husband,Divorced,<=50K
35.0,9th,Female,Husband,Never-married,<=50K
19.0,Some-college,Male,Husband,Divorced,<=50K
44.0,HS-grad,Male,Husband,Never-married,<=50K
41.0,Masters,Female,Not-in-family,Married-civ-spouse,>50K
29.0,HS-grad,Female,Husband,Married-civ-spouse,<=50K
38.0,Some-college,Male,Unmarried,Never-married,<=50K
24.0,Bachelors,Male,Other-relative,Never-married,<=50K
42.0,HS-grad,Male,Other-relative,Married-civ-spouse,<=50K
59.0,Bachelors,Female,Other-relative,Married-civ-spouse,<=50K
31.0,HS-grad,Male,Husband,Divorced,<=50K
45.0,Bachelors,Male,Own-child,Married-civ-spouse,>50K
22.0,Bachelors,Female,Unmarried,Married-civ-spouse,<=50K
45.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
32.0,Bachelors,Female,Not-in-family,Married-civ-spouse,>50K
28.0,Bachelors,Male,Other-relative,Married-civ-spouse,<=50K
42.0,HS-grad,Female,Husband,Never-married,<=50K
17.0,Bachelors,Male,Own-child,Married-civ-spouse,<=50K
52.0,HS-grad,Male,Not-in-family,Never-married,<=50K
19.0,Some-college,Female,Husband,Never-married,>50K
45.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
31.0,HS-grad,Male,Husband,Divorced,<=50K
43.0,HS-grad,Male,Other-relative,Never-married,<=50K
63.0,HS-grad,Female,Not-in-family,Never-married,<=50K
25.0,Some-college,Male,Own-child,Married-civ-spouse,<=50K
40.0,HS-grad,Female,Husband,Married-civ-spouse,<=50K
42.0,Masters,Male,Wife,Married-civ-spouse,<=50K
40.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
27.0,HS-grad,Female,Husband,Never-married,<=50K
61.0,Bachelors,Male,Not-in-family,Never-married,<=50K
32.0,11th,Male,Husband,Never-married,<=50K
52.0,Assoc-voc,Female,Not-in-family,Married-civ-spouse,>50K
43.0,Bachelors,Female,Husband,Married-civ-spouse,<=50K
30.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
53.0,Masters,Male,Own-child,Married-civ-spouse,<=50K
34.0,HS-grad,Male,Unmarried,Never-married,<=50K
56.0,HS-grad,Male,Husband,Never-married,<=50K
39.0,Some-college,Male,Own-child,Divorced,<=50K
56.0,Bachelors,Male,Husband,Never-married,<=50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
45.0,HS-grad,Male,Husband,Never-married,<=50K
37.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
